,Symptom
512,"Bad taste in mouth, Dry mouth, Fever and Muffled voice"
513,"Bad taste in mouth, Dry mouth, Flushed skin and Missed or late menstrual period"
514,"Bad taste in mouth, Dry mouth, Metallic taste and Pain"
515,"Bad taste in mouth, Dry mouth, Metallic taste and Taste of acid in mouth"
516,"Bad taste in mouth, Ear ache, Enlarged glands and Pain"
517,"Bad taste in mouth, Fever, Gum sores and Headache"
518,"Bad taste in mouth, Frequent chewing, Grinding teeth and Hoarse voice"
519,"Bad taste in mouth, Frequent urge to urinate, Headache and Pain or discomfort"
520,"Bad taste in mouth, Headache, Metallic taste and Pain"
521,"Bad taste in mouth, Heartburn, Metallic taste and Pain"
522,"Bad taste in mouth, Hoarse voice and Metallic taste in mouth"
523,"Bad taste in mouth, Itching or burning and Metallic taste in mouth"
524,"Bad taste in mouth, Lump or bulge, Metallic taste in mouth and Mouth sores"
525,"Bad taste in mouth, Metallic taste and Nausea or vomiting"
526,"Bad taste in mouth, Metallic taste and Pain"
527,"Bad taste in mouth, Nasal congestion and Strange smell or taste"
528,"Bad taste in mouth, Strange smell or taste and Thick saliva"
529,"Bad taste in mouth, Taste of acid in mouth and Unusual taste in mouth"
530,"Bad taste in mouth, Watery mouth, Metallic taste and Mouth sores"
531,"Bad taste in mouth, White patches inside mouth and White patches on tongue"
532,Bad Taste in the Mouth
533,Baker's Cyst Symptoms and Signs
534,Balanitis Symptoms and Signs
535,Bald spots (hair) and Change in hair texture
536,Bald spots (hair) and Erectile dysfunction
537,"Bald spots (hair), Blue colored skin, Blue colored lips and Brittle hair"
538,"Bald spots (hair), Blue colored skin, Change in hair texture and Color change"
539,"Bald spots (hair), Brittle hair, Fits of rage and Hair loss"
540,"Bald spots (hair), Brittle hair, Hair loss and Itching or burning"
541,"Bald spots (hair), Drainage or pus, Hair loss, Lump or bulge"
542,"Bald spots (hair), Dry skin, Hair loss and Itching or burning"
543,"Bald spots (hair), Excessive body hair growth, Frequent urination and Hair loss"
544,"Bald spots (hair), Hair loss and Headache"
545,"Bald spots (hair), Hair loss and Pulling out hair"
546,"Bald spots (hair), Hair loss, Itching or burning and Pain or discomfort"
547,"Bald spots (hair), Hair loss, Itching or burning, Pulling out hair"
548,"Bald spots (hair), Tenderness to touch"
549,Barrett's Esophagus Symptoms and Signs
550,Basal Cell Carcinoma (Skin Cancer Symptoms and Signs)
551,Be-Bh
552,Beau's Lines
553,Bedbug Bites Symptoms and Signs
554,Bedwetting (Nocturnal Enuresis) Symptoms and Signs
555,Bee and Wasp Sting Symptoms and Signs
556,Behavior Disorder (Unusual Behavior)
557,Behcet's Syndrome Symptoms and Signs
558,Belching and Cough
559,Belching and Diarrhea
560,Belching and Difficulty swallowing
561,Belching and Dry mouth
562,Belching and Excessive mouth watering
563,Belching and Fever
564,Belching and Headache
565,Belching and Irregular heartbeat
566,Belching and Lump or bulge
567,Belching and Metallic taste
568,Belching and Nausea or vomiting
569,Belching and Numbness or tingling
570,Belching and Taste of acid in mouth
571,Belching and White patches inside mouth
572,"Belching, Bloating and Pain"
573,"Belching, Bloating or fullness, Blood in toilet and Blood on stool surface"
574,"Belching, Bloating or fullness, Blurred vision and Change in bowel habits"
575,"Belching, Bloating or fullness, Body aches or pains and Chills"
576,"Belching, Bloating or fullness, Chills and Constipation"
577,"Belching, Bloating or fullness, Decreased appetite and Nausea or vomiting"
578,"Belching, Bloating or fullness, Distended stomach and Foul smelling stools"
579,"Belching, Bloating or fullness, Frequent urge to urinate and Pain or discomfort"
580,"Belching, Bloating or fullness, Heartburn and Nausea or vomiting"
581,"Belching, Bloating or fullness, Heartburn and Pain or discomfort"
582,"Belching, Bloating, Constipation and Distended stomach"
583,"Belching, Bloating, Constipation and Foul smelling stools"
584,"Belching, Bloating, Constipation and Heartburn"
585,"Belching, Bloating, Diarrhea and Foul smelling stools"
586,"Belching, Bloating, Heartburn and Hot flashes"
587,"Belching, Body aches or pains, Chills and Fever"
588,"Belching, Change in bowel habits, Constipation and Dry mouth"
589,"Belching, Coated or furry tongue, Difficulty swallowing and Dry mouth"
590,"Belching, Coated or furry tongue, Itching or burning and Lump or bulge"
591,"Belching, Cough and Watery mouth"
592,"Belching, Decreased appetite, Increased passing gas and Pain or discomfort"
593,"Belching, Decreased appetite, Nausea or vomiting and Pain"
594,"Belching, Diarrhea and Excessive gas"
595,"Belching, Diarrhea and Nausea or vomiting"
596,"Belching, Diarrhea and Upset stomach"
597,"Belching, Diarrhea, Heartburn and Nausea or vomiting"
598,"Belching, Diarrhea, Nausea or vomiting and Pain"
599,"Belching, Diarrhea, Nausea or vomiting and Upset stomach"
600,"Belching, Dizziness and Nausea or vomiting"
601,"Belching, Dizziness, Fatigue and Feeling faint"
602,"Belching, Dizziness, Headache and Nausea or vomiting"
603,"Belching, Fatigue and Nausea or vomiting"
604,"Belching, Fatigue, Headache and Nausea or vomiting"
605,"Belching, Heartburn and Pain or discomfort"
606,"Belching, Muscle cramps or spasms (painful) and Pain or discomfort"
607,"Belching, Nausea or vomiting, Pain and Trembling"
608,"Belching, Pain or discomfort and Tenderness to touch"
609,"Belching, Palpitations"
610,"Belching, Strange smell or taste and Bad taste in mouth"
611,"Belching, Taste of acid in mouth and Upset stomach"
612,Bell's Palsy Symptoms and Signs
613,Benign Positional Vertigo Symptoms and Signs
614,Bernard-Soulier Disease
615,Beta Thalassemia Symptoms and Signs
616,Bi-Bk
617,Bile Duct Cancer Symptoms and Signs
618,Binge drinking (alcohol) and Easy bruising
619,Binge drinking (alcohol) and Excessive sweating
620,Binge drinking (alcohol) and Pain or discomfort
621,Binge drinking (alcohol) and Shaking
622,"Binge drinking (alcohol), Black (tar) colored stools, Blank stare and Bleeding"
623,"Binge drinking (alcohol), Blank stare, Bleeding (Eyes) and Bleeding (Ears)"
624,"Binge drinking (alcohol), Body aches or pains, Chills and Decreased appetite"
625,"Binge drinking (alcohol), Body aches or pains, Chills and Decreased sweating"
626,"Binge drinking (alcohol), Body aches or pains, Dry skin and Fatigue"
627,"Binge drinking (alcohol), Body aches or pains, Fatigue and Joint aches"
628,"Binge drinking (alcohol), Bruising or discoloration, Dizziness and Dry skin"
629,"Binge drinking (alcohol), Chills, Excessive sweating and Fatigue"
630,"Binge drinking (alcohol), Decreased appetite, Dry mouth and Excessive sweating"
631,"Binge drinking (alcohol), Dry skin, Easy bruising and Excessive sweating"
632,"Binge drinking (alcohol), Fatigue, Hunger and Jumpiness or easily startled"
633,"Binge drinking (alcohol), Hunger, Hyperactive behavior and Low self-esteem"
634,"Binge drinking, Binge eating, Blood or red colored urine, Aches or pains"
635,"Binge drinking, Binge eating, Difficulty swallowing, Fatigue"
636,"Binge drinking, Bleeding gums, Easy bleeding, Feeling faint"
637,"Binge drinking, Bleeding, Blood in toilet, Blood on stool surface"
638,"Binge drinking, Bloating, Blue colored skin"
639,"Binge drinking, Bloating, Bowel habit change, Constipation"
640,"Binge drinking, Blurred vision, Bulging veins, Decreased appetite"
641,"Binge drinking, Blurred vision, Dilated pupils, Flashing lights in Eyes"
642,"Binge drinking, Bulging veins, Cloudy urine, Difficult to wake up"
643,"Binge drinking, Chills, Fever, Hot flashes"
644,"Binge drinking, Chills, Muscle tightness, Dizziness"
645,"Binge drinking, Decreased appetite, Enlarged glands, Fatigue"
646,"Binge drinking, Decreased appetite, Morning alcohol drinking, Nervousness"
647,"Binge drinking, Excessive body hair growth, Fatigue, Hunger"
648,"Binge drinking, Pale skin"
649,"Binge drinking, Red blood in stools, Decreased appetite, Dizziness"
650,"Binge drinking, Tenderness to touch"
651,Binge eating and Chills
652,Binge eating and Distorted body image
653,Binge eating and Fever
654,Binge eating and Headache
655,Binge eating and Night sweats
656,Binge eating and Pain or discomfort
657,Binge eating and Weight gain
658,Binge eating and Weight loss (unintentional)
659,Binge Eating Disorder Symptoms and Signs
660,"Binge eating, Blackouts (memory time loss), Chills and Dizziness"
661,"Binge eating, Blackouts (memory time loss), Dizziness and Fainting"
662,"Binge eating, Bleeding gums, Dry skin and Excessive facial hair growth (female)"
663,"Binge eating, Bleeding, Blood in toilet and Blood on toilet tissue"
664,"Binge eating, Bloody or red colored stools, Decreased appetite and Dizziness"
665,"Binge eating, Brittle hair, Fatigue and Hair loss"
666,"Binge eating, Change in bowel habits, Coarse hair and Distended stomach"
667,"Binge eating, Chills, Night sweats and Overweight"
668,"Binge eating, Cracks at corner of mouth, Dizziness and Feeling faint"
669,"Binge eating, Dizziness, Fatigue and Food cravings"
670,"Binge eating, Drinking excessive fluids, Fatigue and Food cravings"
671,"Binge eating, Enlarged or swollen glands, Fatigue and Frequent infections"
672,"Binge eating, Excessive sweating, Frequent infections and Night sweats"
673,"Binge eating, Fatigue, Food cravings and High blood pressure"
674,Bipolar Disorder in Children and Teens Symptoms
675,Bipolar Disorder Symptoms and Signs
676,Bird Flu (Avian Influenza) Symptoms and Signs
677,Birthmark Symptoms and Signs
678,Bitter almond odor on breath and Bleeding
679,"Bitter almond odor on breath, Compulsive behavior, Fainting and Fear of air"
680,Bl-Bn
681,Black (tar) colored stools and Blood on toilet tissue
682,Black (tar) colored stools and Distended stomach
683,Black (tar) colored stools and Excessive sweating
684,Black (tar) colored stools and Fatigue
685,Black (tar) colored stools and Holding bowel movements
686,Black (tar) colored stools and Itching or burning
687,Black (tar) colored stools and Lump or bulge
688,Black (tar) colored stools and Muscle cramps or spasms (painful)
689,Black (tar) colored stools and Pain or discomfort
690,Black (tar) colored stools and Painful bowel movements
691,Black (tar) colored stools and Swelling
692,"Black (tar) colored stools, Bleeding and Blood in toilet"
693,"Black (tar) colored stools, Bleeding, Bleeding in eye and Blind spot in vision"
694,"Black (tar) colored stools, Bloating or fullness and Pain or discomfort"
695,"Black (tar) colored stools, Change in bowel habits, Constipation and Diarrhea"
696,"Black (tar) colored stools, Change in stools and Thin (pencil) stools"
697,"Black (tar) colored stools, Chills, Decreased appetite and Fatigue"
698,"Black (tar) colored stools, Constipation and Pain or discomfort"
699,"Black (tar) colored stools, Constipation, Decreased appetite and Dizziness"
700,"Black (tar) colored stools, Headache and Nausea or vomiting"
701,"Black (tar) colored stools, Nausea or vomiting and Pain or discomfort"
702,"Black (tar) colored stools, Pain or discomfort and Pressure or fullness"
703,Black colored skin and Broken bone (single fracture)
704,Black colored skin and Bruising or discoloration
705,Black colored skin and Cold feet
706,Black colored skin and Cold hands
707,Black colored skin and Drainage or pus
708,Black colored skin and Lump or bulge
709,Black colored skin and Numbness or tingling
710,Black colored skin and Red or black spots on fingernails
711,Black colored skin and Swelling
712,"Black colored skin, Blue colored skin and Broken bone (single fracture)"
713,"Black colored skin, Blue colored skin and Joint pain"
714,"Black colored skin, Blue colored skin and Swelling"
715,"Black colored skin, Blue colored skin, Bruising and Cold feet"
716,"Black colored skin, Blue colored skin, Bruising and Enlarged finger tips"
717,"Black colored skin, Blue colored skin, Bruising and Numbness or tingling"
718,"Black colored skin, Blue colored skin, Cold feet and Color change"
719,"Black colored skin, Blue colored skin, Joint pain and Lump or bulge"
720,"Black colored skin, Bruising and Cold hands"
721,"Black colored skin, Bruising, Pain and Swelling"
722,"Black colored skin, Color change and Numbness or tingling"
723,"Black colored skin, Drainage or pus and Tenderness to touch"
724,"Black colored skin, Lump or bulge, Numbness or tingling and Pain or discomfort"
725,"Black colored skin, Lump or bulge, Pain and Tenderness to touch"
726,"Black colored skin, Pain or discomfort and Swelling"
727,"Black colored stools, Bloating, Aches or pains, Dark colored urine"
728,"Black colored stools, Bloating, Change in stools"
729,"Black colored stools, Bloating, Constipation, Excessive gas"
730,"Black colored stools, Change in stools, Pain"
731,"Black colored stools, Constipation"
732,"Black colored stools, Diarrhea"
733,"Black colored stools, Diarrhea, Frequent bowel movements, Muscle cramps"
734,"Black colored stools, Dizziness"
735,"Black colored stools, Fever"
736,"Black colored stools, Foul smelling stools, Thin (pencil) stools"
737,"Black colored stools, Heartburn"
738,"Black colored stools, Heartburn, Pain"
739,"Black colored stools, Nausea or vomiting"
740,"Black colored stools, Stomach cramps"
741,"Black colored stools, Upset stomach"
742,Black Eye Symptoms and Signs
743,Blackhead Symptoms and Signs
744,Blackouts (memory time loss) and Confusion
745,Blackouts (memory time loss) and Double vision (without one eye covered)
746,Blackouts (memory time loss) and Fits of rage
747,Blackouts (memory time loss) and Hallucinations
748,Blackouts (memory time loss) and Loss of consciousness
749,Blackouts (memory time loss) and Memory problems
750,Blackouts (memory time loss) and Recent (short-term) memory loss
751,Blackouts (memory time loss) and Ringing in ears
752,"Blackouts (memory time loss), Blank stare, Bleeding and Bleeding in eye"
753,"Blackouts (memory time loss), Blank stare, Confusion and Delusions"
754,"Blackouts (memory time loss), Blind spot in vision, Blindness and Blurred vision"
755,"Blackouts (memory time loss), Blinking eyes, Blurred vision and Cloudy vision"
756,"Blackouts (memory time loss), Blurred vision, Dry mouth and Fainting"
757,"Blackouts (memory time loss), Broken bone (single fracture), Coma and Confusion"
758,"Blackouts (memory time loss), Coma, Confusion and Delusions"
759,"Blackouts (memory time loss), Confusion, Delusions and Diarrhea"
760,"Blackouts (memory time loss), Confusion, Forgetfulness and Headache"
761,"Blackouts (memory time loss), Confusion, Memory problems and Repeats phrases"
762,"Blackouts (memory time loss), Depressed mood, Fits of rage and Headache"
763,"Blackouts (memory time loss), Difficulty sleeping, Disorientation and Drowsiness"
764,"Blackouts (memory time loss), Fainting, Feeling faint and Irregular heartbeat"
765,"Blackouts (memory time loss), Fainting, Forgetfulness and Loss of consciousness"
766,"Blackouts (memory time loss), Headache, Lightheadedness and Lump or bulge"
767,"Blackouts, Blurred vision, Dizziness, Fainting"
768,"Blackouts, Depressed mood, insomnia, Flashbacks"
769,"Blackouts, Dizziness, Fainting, Lightheadedness"
770,"Blackouts, Dizziness, Headache"
771,"Blackouts, Dizziness, Worst Headache, Lightheadedness"
772,"Blackouts, Fits of rage, Poor social skills, Impulsive behavior"
773,Bladder Cancer Symptoms and Signs
774,Bladder Infection Symptoms and Signs
775,Bladder Spasms
776,"Blank stare (Eyes), Blank stare (Face), Blurred vision and Bulging eyes"
777,"Blank stare (Eyes), Blank stare (Face), Compulsive behavior and Confusion"
778,Blank stare and Blurred vision
779,Blank stare and Drooping eyelid
780,Blank stare and Dry eyes
781,Blank stare and Enlarged (dilated) pupils
782,Blank stare and Eyes rolling back
783,Blank stare and Headache
784,Blank stare and Lightheadedness
785,Blank stare and Pain or discomfort
786,Blank stare and Red (bloodshot) eyes
787,Blank stare and Tilts head to look at something
788,Blank stare and Unusual facial expression
789,Blank stare and Visual halos around lights
790,"Blank stare, Blind spot in vision, Blinking eyes and Blurred vision"
